Prix,Ville,Annee,Kilometrage,Transmission,Carburant,Marque,Modele,Prix_Log
166000.0,Fès,2024.0,52000,Manuelle,Diesel,Renault,Clio,12.019749091416921
166000.0,Fès,2025.0,33000,Manuelle,Diesel,Opel,Corsa,12.019749091416921
223000.0,Fès,2017.0,113000,Automatique,Diesel,Peugeot,3008,12.314931534737134
185000.0,Casablanca,2015.0,212905,Automatique,Diesel,Audi,A3,12.128116509451258
215000.0,Casablanca,2020.0,48750,Automatique,Hybride,Toyota,C-HR,12.278397958261774
221000.0,Casablanca,2016.0,112215,Automatique,Diesel,Land Rover,Range Rover Evoque,12.30592250537653
134500.0,Casablanca,2021.0,61984,Manuelle,Essence,Fiat,500,11.80932691294063
211000.0,Casablanca,2016.0,90511,Automatique,Diesel,Jeep,Grand Cherokee,12.259618151783465
253000.0,Casablanca,2019.0,60228,Automatique,Diesel,Volkswagen,Passat,12.441148720271016
153000.0,Rabat,2025.0,9200,Automatique,Essence,Kia,Picanto,11.938199736300925
470000.0,Casablanca,2020.0,79000,Automatique,Diesel,Volkswagen,Tiguan,13.060490101343552
346000.0,Beni Mellal,2021.0,130000,Automatique,Diesel,Audi,A6,12.754196944209095
346000.0,Beni Mellal,2021.0,130000,Automatique,Diesel,Audi,A6,12.754196944209095
260000.0,Marrakech,2021.0,76000,Automatique,Diesel,Alfa,Romeo Giulia,12.468440756144114
390000.0,Casablanca,2022.0,50979,Automatique,Diesel,Mercedes-Benz,Classe CLA,12.873904582205107
290000.0,Casablanca,2021.0,152300,Automatique,Diesel,Audi,A4,12.577639650232573
159000.0,Marrakech,2013.0,15300,Automatique,Diesel,Audi,A3,11.976665770490767
360000.0,Casablanca,2025.0,89804,Automatique,Diesel,Hyundai,Tucson,12.793862088206213
135000.0,Casablanca,2023.0,65184,Automatique,Essence,Kia,Picanto,11.813037464800539
365000.0,Casablanca,2021.0,107655,Automatique,Diesel,BMW,X3,12.807655372286902
180000.0,Casablanca,2020.0,118500,Automatique,Diesel,Renault,Megane,12.100717685412471
260000.0,Rabat,2021.0,93000,Automatique,Diesel,Peugeot,3008,12.468440756144114
220000.0,Agadir,2018.0,169000,Automatique,Diesel,Alfa,Romeo Stelvio,12.301387370778713
175000.0,Casablanca,2017.0,125000,Manuelle,Diesel,Nissan,Qashqai,12.07254696717504
410000.0,Casablanca,2022.0,39421,Automatique,Diesel,BMW,Série 3,12.923914877701906
123000.0,Casablanca,2023.0,30000,Manuelle,Essence,Kia,Picanto,11.719947764402807
210000.0,Casablanca,2024.0,66110,Automatique,Diesel,Renault,Arkana,12.25486757159303
260000.0,Casablanca,2023.0,39046,Automatique,Diesel,Hyundai,Tucson,12.468440756144114
98000.0,Casablanca,2016.0,82380,Automatique,Essence,Opel,Adam,11.49273296168228
190000.0,Marrakech,2020.0,1098000,Manuelle,Diesel,Renault,Kadjar,12.154784614286667
249000.0,Casablanca,2024.0,53761,Automatique,Diesel,Renault,Megane,12.425212191503038
265000.0,Casablanca,2024.0,82591,Automatique,Diesel,Hyundai,Tucson,12.487488878546145
172000.0,Casablanca,2019.0,152377,Manuelle,Diesel,Citroën,Berlingo,12.055255569732177
200000.0,Casablanca,2021.0,109527,Automatique,Diesel,Dacia,Duster,12.206077645517674
163000.0,Casablanca,2023.0,145993,Manuelle,Diesel,Peugeot,208,12.001511614739405
173500.0,Casablanca,2023.0,33316,Manuelle,Diesel,Opel,Corsa,12.063938642041201
310000.0,Casablanca,2024.0,20382,Automatique,Hybride,Hyundai,Tucson,12.644330802262578
315000.0,Casablanca,2022.0,61207,Automatique,Diesel,Peugeot,5008,12.660331092405906
273000.0,Casablanca,2022.0,43936,Automatique,Diesel,Peugeot,3008,12.51723073716405
280000.0,Rabat,2021.0,48000,Automatique,Diesel,Hyundai,Tucson,12.54254845357358
185000.0,Meknès,2022.0,56000,Automatique,Essence,Nissan,Juke,12.128116509451258
65000.0,Marrakech,2012.0,233000,Manuelle,Essence,Hyundai,i10,11.082157933374816
270000.0,Oujda,2019.0,106000,Automatique,Diesel,Volkswagen,Tiguan,12.506180941677357
270000.0,Oujda,2019.0,106000,Automatique,Diesel,Volkswagen,Tiguan,12.506180941677357
410000.0,Casablanca,2024.0,8000,Automatique,Diesel,Volkswagen,Tiguan,12.923914877701906
345000.0,Rabat,2019.0,132000,Automatique,Diesel,BMW,Série 5,12.75130259456002
360000.0,Casablanca,2026.0,7000,Automatique,Hybride,BYD,Seal U,12.793862088206213
225000.0,Casablanca,2017.0,90000,Manuelle,Diesel,Peugeot,Traveller,12.323860125621126
310000.0,Safi,2024.0,103000,Automatique,Diesel,Volkswagen,Tiguan,12.644330802262578
373000.0,Casablanca,2025.0,49380,Automatique,Hybride,Cupra,Formentor,12.829336379587506
135000.0,Casablanca,2012.0,176000,Automatique,Diesel,Mercedes-Benz,Classe E,11.813037464800539
320000.0,Casablanca,2020.0,134900,Automatique,Diesel,Mercedes-Benz,Classe CLA,12.676079399771027
